id,rand,name,description,external_url,background_color,back,background,clothes,ears,ears back,face,forehead,glasses,eyes,hair_color,hair,hair back,hair middle,hands,mask,mouth,special1,special2,special3,water,water back,water top
1,0.1139659147,KMCXRP#0001,,,FFFFFF,None,Red,purple Jersey,navy Headphone2,navy Headphone2,4,None,navy jimu,marron Soft,40,marron Short,marron Short,marron Short,4 Index finger,None,Happy,None,None,None,Green,Green,Green
2,0.3009015193,KMCXRP#0002,,,FFFFFF,None,Yellow,pink Uniform 3,None,None,4,None,None,red Drooping,66,red Bob perm,red Bob perm,red Bob perm,4 Grip,None,Happy,None,None,None,Blue Green,Blue Green,Blue Green
3,0.6142711184,KMCXRP#0003,,,FFFFFF,orange Fish,Green,light blue Uniform 9,blue green Steampunk,blue green Steampunk,1,None,None,marron Eyelashes,40,marron Bob,marron Bob,marron Bob,1 Grip,None,Tongue,None,None,None,Blue Green,Blue Green,Blue Green
4,0.61534264,KMCXRP#0004,,,FFFFFF,None,Yellow2,green Uniform 1,None,None,5,blue Gandamu,None,marron Eyelashes,40,marron Shaggy,marron Shaggy,marron Shaggy,5 Ring,light blue Gas mask3,Happy,None,None,None,Pink,Pink,Pink
5,0.6863784124,KMCXRP#0005,,,FFFFFF,None,Blue Green,green Uniform 5,None,None,5,None,Green Round glasses,brown Drooping,14,brown Long permanent,brown Long permanent,brown Long permanent,5 Piece,None,Neutral,Tear,None,None,Green,Green,Green
6,0.9673788464,KMCXRP#0006,,,FFFFFF,None,Purple,yellow Uniform 1,blue green Headphone1,blue green Headphone1,5,None,purple jimu,black Drooping,1,black Braid,black Braid,black Braid,5 Grip,None,Surprised,None,pink Hannya mask,None,Pink,Pink,Pink
7,0.8192298877,KMCXRP#0007,,,FFFFFF,None,Light Blue,blue Uniform 9,pink Headphone2,pink Headphone2,3,None,navy Steampunk,marron Eyelashes,40,marron Bob perm,marron Bob perm,marron Bob perm,3 Index finger,None,Surprised,None,None,None,Navy,Navy,Navy
8,0.2554981515,KMCXRP#0008,,,FFFFFF,None,Yellow,light blue Hooded sweatshirt,None,None,3,red Jimu,None,marron Timarron,40,marron Princess,marron Princess,marron Princess,3 Grip,None,Happy,None,None,None,Orange,Orange,Orange
9,0.3882622949,KMCXRP#0009,,,FFFFFF,None,Blue Green,orange Uniform 3,blue green Gandamu,blue green Gandamu,1,None,None,marron Soft,40,marron Princess,marron Princess,marron Princess,1 Ring,yellow Gas mask2,Smile,None,None,None,Blue,Blue,Blue
10,0.6573224399,KMCXRP#0010,,,FFFFFF,None,Yellow2,pink Hooded sweatshirt,None,None,1,purple Zaku,None,brown Boy,14,brown Bob perm,brown Bob perm,brown Bob perm,1 Ring,None,Serious,None,None,None,Purple,Purple,Purple
