id,rand,name,description,external_url,background_color,back,background,clothes,ears,ears back,face,forehead,glasses,eyes,hair_color,hair,hair back,hair middle,hands,mask,mouth,special1,special2,special3,water,water back,water top
5000,0.949908917,KMCXRP#5000,,,FFFFFF,None,Orange,yellow Uniform 2,light blue Steampunk,light blue Steampunk,1,None,None,gray Soft,27,gray Long permanent,gray Long permanent,gray Long permanent,1 Palm,navy Zaku,Tongue,None,None,None,Navy,Navy,Navy
5001,0.938164811,KMCXRP#5001,,,FFFFFF,None,Green,blue greenUniform 7,None,None,3,None,red Zaku,gray Drooping,27,gray Long permanent,gray Long permanent,gray Long permanent,3 Palm,blue Zaku,Happy,None,None,None,Pink,Pink,Pink
5002,0.606124924,KMCXRP#5002,,,FFFFFF,None,Orange,light blue Jersey,None,None,1,blue Zaku,None,orange Eyelashes,53,orange Dango,orange Dango,orange Dango,1 Piece,None,Surprised,None,blue green Kitsune masuk,None,Pink,Pink,Pink
5003,0.062047892,KMCXRP#5003,,,FFFFFF,None,Light Blue,light blue Shirt,None,None,1,None,orange jimu,marron Cat,40,marron Short,marron Short,marron Short,1 Ring,pink Steampunk,UWU,None,None,None,Red,Red,Red
5004,0.140116168,KMCXRP#5004,,,FFFFFF,blue Octopus,Yellow2,purple Uniform 4,red jimu,red jimu,2,None,None,red Drooping,66,red Twin tail,red Twin tail,red Twin tail,2 Piece,None,Sleepy,None,None,None,Purple,Purple,Purple
5005,0.234000464,KMCXRP#5005,,,FFFFFF,None,Orange,blue greenHooded sweatshirt,None,None,4,None,None,brown Shaped,14,brown Long,brown Long,brown Long,4 Piece,red jimu,Smile,None,None,None,Purple,Purple,Purple
5006,0.824742997,KMCXRP#5006,,,FFFFFF,orange Planet,Pink,blue greenJersey,navy Gandamu,navy Gandamu,1,None,None,orange Tiorange,53,orange Dango,orange Dango,orange Dango,1 Index finger,None,Tired,None,None,None,Yellow,Yellow,Yellow
5007,0.932707689,KMCXRP#5007,,,FFFFFF,yellow Fish,Blue Green,yellow Uniform 2,None,None,3,None,pink Round glasses,marron Serious,40,marron Princess,marron Princess,marron Princess,3 Grip,None,Sleepy,None,None,None,Pink,Pink,Pink
5008,0.17429519,KMCXRP#5008,,,FFFFFF,None,Pink,yellow Uniform 2,None,None,2,None,blue green Steampunk,yellow Cat,79,yellow Princess,yellow Princess,yellow Princess,2 Palm,None,Serious,None,None,None,Blue,Blue,Blue
5009,0.729095356,KMCXRP#5009,,,FFFFFF,None,Yellow,light blue Uniform 1,light blue Karasu,light blue Karasu,3,light blue Zaku,None,yellow Tiyellow,79,yellow Short,yellow Short,yellow Short,3 Piece,blue green Gas mask3,Tired,None,None,None,Pink,Pink,Pink
5010,0.67522426,KMCXRP#5010,,,FFFFFF,None,Blue,navy OL,pink Zaku,pink Zaku,3,None,None,gray Wink,27,gray Princess,gray Princess,gray Princess,3 Ring,None,Serious,None,None,None,Pink,Pink,Pink
5011,0.772172707,KMCXRP#5011,,,FFFFFF,purple Gun,Blue Green,purple Hooded sweatshirt,None,None,4,yellow Gandamu,navy Gandamu,brown Keen,14,brown Princess,brown Princess,brown Princess,4 Grip,Green jimu,Serious,None,None,None,Green,Green,Green
5012,0.375313594,KMCXRP#5012,,,FFFFFF,None,Red,yellow Uniform 9,light blue Karasu,light blue Karasu,5,blue green Steampunk,None,marron Boy,40,marron Long,marron Long,marron Long,5 Index finger,red Zaku,Candy,Tear,None,None,Yellow,Yellow,Yellow
5013,0.855021578,KMCXRP#5013,,,FFFFFF,None,Blue,pink Uniform 5,yellow Karasu,yellow Karasu,4,None,None,red Boy,66,red Bob,red Bob,red Bob,4 Palm,Green Gas mask2,Tongue,None,None,None,Navy,Navy,Navy
5014,0.157196918,KMCXRP#5014,,,FFFFFF,green Gun,Yellow2,purple Hooded sweatshirt,red Gandamu,red Gandamu,4,purple Gandamu,Green jimu,black Tiblack,1,black Long,black Long,black Long,4 Grip,None,Serious,None,None,None,Navy,Navy,Navy
5015,0.613232037,KMCXRP#5015,,,FFFFFF,None,Pink,green T-shirt,None,None,1,None,None,black Round,1,black Braid,black Braid,black Braid,1 Grip,None,Tongue,None,None,None,Light Blue,Light Blue,Light Blue
5016,0.075027072,KMCXRP#5016,,,FFFFFF,None,Pink,blue Tank top,None,None,1,green Gandamu,None,yellow Serious,79,yellow Bob,yellow Bob,yellow Bob,1 Palm,None,Candy,None,None,None,Pink,Pink,Pink
5017,0.862006335,KMCXRP#5017,,,FFFFFF,None,Blue Green,orange Uniform 7,None,None,5,green Zaku,None,yellow Quiet,79,yellow Long,yellow Long,yellow Long,5 Piece,None,Tired,None,None,None,Blue Green,Blue Green,Blue Green
5018,0.835950272,KMCXRP#5018,,,FFFFFF,None,Green,green Uniform 1,pink Headphone1,pink Headphone1,4,None,Green Eye pad,black Serious,1,black Twin tail,black Twin tail,black Twin tail,4 Piece,None,Serious,None,None,None,Green,Green,Green
5019,0.184480018,KMCXRP#5019,,,FFFFFF,None,Orange,green T-shirt,None,None,2,None,None,orange Boy,53,orange Long permanent,orange Long permanent,orange Long permanent,2 Grip,None,Tired,None,None,None,Navy,Navy,Navy
5020,0.869648785,KMCXRP#5020,,,FFFFFF,None,Yellow,blue greenUniform 9,None,None,3,None,Green Steampunk,red Serious,66,red Long,red Long,red Long,3 Piece,None,Surprised,None,None,None,Purple,Purple,Purple
5021,0.565393246,KMCXRP#5021,,,FFFFFF,yellow mechanical feather,Green,pink Hooded sweatshirt,red Zaku,red Zaku,5,green Zaku,None,brown Shaped,14,brown Long,brown Long,brown Long,5 Index finger,None,UWU,Tear,None,None,Blue,Blue,Blue
5022,0.848986997,KMCXRP#5022,,,FFFFFF,green Fish,Green,purple Uniform 3,pink Zaku,pink Zaku,3,blue green Gandamu,blue green Steampunk,yellow Cat,79,yellow Bob,yellow Bob,yellow Bob,3 Piece,None,Happy,None,None,None,Orange,Orange,Orange
5023,0.559560379,KMCXRP#5023,,,FFFFFF,None,Light Blue,orange Uniform 7,None,None,1,None,blue Karasu,brown Tibrown,14,brown Shaggy,brown Shaggy,brown Shaggy,1 Palm,None,Sleepy,None,None,None,Purple,Purple,Purple
5024,0.542775303,KMCXRP#5024,,,FFFFFF,None,Green,orange Uniform 10,None,None,4,None,orange Zaku,brown Eyelashes,14,brown Dango,brown Dango,brown Dango,4 Grip,red Karasu,Neutral,None,None,None,Orange,Orange,Orange
5025,0.39773802,KMCXRP#5025,,,FFFFFF,None,Light Blue,green Kimono,None,None,4,pink Zaku,blue Karasu,marron Quiet,40,marron Bob,marron Bob,marron Bob,4 Palm,None,Neutral,None,None,Glitter,Pink,Pink,Pink
5026,0.428514034,KMCXRP#5026,,,FFFFFF,None,Light Blue,light blue Kimono,light blue Headphone1,light blue Headphone1,2,None,blue green Karasu,brown Quiet,14,brown Bob,brown Bob,brown Bob,2 Grip,blue Gas mask1,UWU,None,None,None,Green,Green,Green
5027,0.783202586,KMCXRP#5027,,,FFFFFF,None,Orange,light blue OL,blue Karasu,blue Karasu,5,None,purple Gandamu,gray Cat,27,gray Princess,gray Princess,gray Princess,5 Piece,None,Tongue,None,None,Sun orange,Light Blue,Light Blue,Light Blue
5028,0.139986942,KMCXRP#5028,,,FFFFFF,None,Blue Green,purple Uniform 4,None,None,2,navy Zaku,None,black Boy,1,black Bob,black Bob,black Bob,2 Grip,yellow Karasu,Sleepy,Tear,None,None,Orange,Orange,Orange
5029,0.405973307,KMCXRP#5029,,,FFFFFF,None,Green,green Uniform 9,navy Zaku,navy Zaku,4,pink Gandamu,None,brown Round,14,brown Short,brown Short,brown Short,4 Grip,orange Gas mask2,Serious,None,None,None,Green,Green,Green
5030,0.033653082,KMCXRP#5030,,,FFFFFF,None,Light Blue,pink Uniform 9,None,None,1,None,None,brown Keen,14,brown Long permanent,brown Long permanent,brown Long permanent,1 Ring,None,Smile,None,red Beam,None,Light Blue,Light Blue,Light Blue
5031,0.399130034,KMCXRP#5031,,,FFFFFF,None,Pink,blue Uniform 8,red Headphone1,red Headphone1,4,None,None,brown Rounded,14,brown Long permanent,brown Long permanent,brown Long permanent,4 Palm,navy Gas mask2,Tongue,None,purple Hannya mask,None,Pink,Pink,Pink
5032,0.531478424,KMCXRP#5032,,,FFFFFF,None,Purple,yellow Uniform 2,None,None,3,None,None,red Drooping,66,red Long permanent,red Long permanent,red Long permanent,3 Index finger,purple Gandamu,Serious,None,None,None,Orange,Orange,Orange
5033,0.84967955,KMCXRP#5033,,,FFFFFF,None,Pink,blue Uniform 2,navy Headphone2,navy Headphone2,5,None,None,gray Quiet,27,gray Shaggy,gray Shaggy,gray Shaggy,5 Ring,orange Normal,Serious,None,None,None,Light Blue,Light Blue,Light Blue
5034,0.429314529,KMCXRP#5034,,,FFFFFF,None,Purple,yellow T-shirt,None,None,1,None,None,brown Cat,14,brown Dango,brown Dango,brown Dango,1 Grip,None,Surprised,None,None,None,Pink,Pink,Pink
5035,0.837145729,KMCXRP#5035,,,FFFFFF,None,Light Blue,green Sukajan,None,None,5,None,None,marron Eyelashes,40,marron Long permanent,marron Long permanent,marron Long permanent,5 Grip,None,Tired,None,None,None,Orange,Orange,Orange
5036,0.682965405,KMCXRP#5036,,,FFFFFF,None,Pink,blue greenChina,blue green Headphone1,blue green Headphone1,4,light blue Steampunk,Green Zaku,yellow Quiet,79,yellow Braid,yellow Braid,yellow Braid,4 Palm,None,Sleepy,None,None,Sun green,Navy,Navy,Navy
5037,0.354349196,KMCXRP#5037,,,FFFFFF,blue green mechanical feather,Green,navy Tank top,None,None,2,None,None,red Boy,66,red Short,red Short,red Short,2 Ring,None,Tongue,None,None,None,Yellow,Yellow,Yellow
5038,0.823094216,KMCXRP#5038,,,FFFFFF,None,Yellow,light blue Tank top,purple Steampunk,purple Steampunk,3,None,blue AR Glasses,yellow Wink,79,yellow Shaggy,yellow Shaggy,yellow Shaggy,3 Ring,None,Tongue,None,None,None,Purple,Purple,Purple
5039,0.430178053,KMCXRP#5039,,,FFFFFF,pink Fish,Red,yellow Uniform 3,red Karasu,red Karasu,2,light blue Jimu,None,yellow Tiyellow,79,yellow Bob perm,yellow Bob perm,yellow Bob perm,2 Palm,light blue Steampunk,Happy,None,None,None,Yellow,Yellow,Yellow
5040,0.770151084,KMCXRP#5040,,,FFFFFF,None,Blue Green,yellow Uniform 10,pink Headphone1,pink Headphone1,2,None,red Eye pad,black Wink,1,black Short,black Short,black Short,2 Index finger,None,Neutral,None,None,None,Light Blue,Light Blue,Light Blue
5041,0.152634178,KMCXRP#5041,,,FFFFFF,None,Pink,red Overall,None,None,3,blue green Steampunk,None,black Wink,1,black Bob perm,black Bob perm,black Bob perm,3 Piece,yellow Normal,Sleepy,None,None,None,Blue Green,Blue Green,Blue Green
5042,0.477215228,KMCXRP#5042,,,FFFFFF,None,Blue Green,purple Uniform 2,pink Steampunk,pink Steampunk,1,green Zaku,pink Zaku,black Tiblack,1,black Dango,black Dango,black Dango,1 Index finger,purple Gas mask3,Tongue,None,None,Sun purple,Red,Red,Red
5043,0.42679564,KMCXRP#5043,,,FFFFFF,yellow Gun,Orange,blue greenT-shirt,None,None,2,orange Gandamu,None,orange Round,53,orange Long,orange Long,orange Long,2 Palm,Green Steampunk,Serious,None,blue Signal,None,Orange,Orange,Orange
5044,0.218326683,KMCXRP#5044,,,FFFFFF,blue green Fish,Light Blue,purple Kimono,blue jimu,blue jimu,3,light blue Gandamu,None,black Serious,1,black Dango,black Dango,black Dango,3 Palm,light blue Gas mask3,Happy,None,None,None,Green,Green,Green
5045,0.806917575,KMCXRP#5045,,,FFFFFF,None,Orange,green Uniform 7,None,None,2,None,None,gray Boy,27,gray Braid,gray Braid,gray Braid,2 Palm,None,Tired,None,None,None,Purple,Purple,Purple
5046,0.049451767,KMCXRP#5046,,,FFFFFF,None,Purple,pink Uniform 10,None,None,4,red Jimu,orange Zaku,red Wink,66,red Dango,red Dango,red Dango,4 Grip,orange Gas mask3,Neutral,None,None,None,Pink,Pink,Pink
5047,0.740676857,KMCXRP#5047,,,FFFFFF,None,Yellow,purple Overall,blue green jimu,blue green jimu,2,orange Gandamu,pink Round glasses,brown Rounded,14,brown Bob perm,brown Bob perm,brown Bob perm,2 Grip,None,Candy,Tear,None,None,Yellow,Yellow,Yellow
5048,0.726218031,KMCXRP#5048,,,FFFFFF,None,Green,blue greenUniform 6,green Karasu,green Karasu,4,navy Gandamu,pink Eye pad,brown Serious,14,brown Princess,brown Princess,brown Princess,4 Grip,None,Happy,None,None,Sun navy,Yellow,Yellow,Yellow
5049,0.948152005,KMCXRP#5049,,,FFFFFF,None,Blue,orange Uniform 1,pink Headphone1,pink Headphone1,1,blue green Gandamu,None,brown Rounded,14,brown Princess,brown Princess,brown Princess,1 Ring,None,Candy,None,None,Sun purple,Purple,Purple,Purple
5050,0.285135684,KMCXRP#5050,,,FFFFFF,None,Red,pink Uniform 10,None,None,2,None,None,brown Shaped,14,brown Bob perm,brown Bob perm,brown Bob perm,2 Ring,None,UWU,None,None,None,Green,Green,Green
5051,0.335746303,KMCXRP#5051,,,FFFFFF,None,Green,light blue Shirt,blue jimu,blue jimu,1,yellow Steampunk,orange Round glasses,marron Serious,40,marron Long,marron Long,marron Long,1 Index finger,orange Karasu,UWU,None,None,None,Purple,Purple,Purple
5052,0.341980184,KMCXRP#5052,,,FFFFFF,None,Green,light blue Uniform 9,None,None,1,light blue Zaku,None,marron Drooping,40,marron Bob,marron Bob,marron Bob,1 Ring,None,Serious,None,None,None,Navy,Navy,Navy
5053,0.988759198,KMCXRP#5053,,,FFFFFF,None,Purple,yellow Uniform 8,None,None,4,red Jimu,red Eye pad,brown Tibrown,14,brown Long,brown Long,brown Long,4 Grip,purple Steampunk,Sleepy,None,None,Sun yellow,Purple,Purple,Purple
5054,0.58176088,KMCXRP#5054,,,FFFFFF,None,Light Blue,blue Uniform 5,red Headphone1,red Headphone1,4,None,None,gray Serious,27,gray Long permanent,gray Long permanent,gray Long permanent,4 Index finger,blue Gas mask1,UWU,None,None,None,Blue Green,Blue Green,Blue Green
5055,0.084166695,KMCXRP#5055,,,FFFFFF,pink Octopus,Pink,blue Uniform 2,navy jimu,navy jimu,3,None,Green Gandamu,orange Wink,53,orange Dango,orange Dango,orange Dango,3 Ring,None,Tired,Tear,None,None,Red,Red,Red
5056,0.699280353,KMCXRP#5056,,,FFFFFF,None,Yellow,red Kimono,None,None,4,None,Green Zaku,brown Serious,14,brown Bob,brown Bob,brown Bob,4 Ring,None,Tongue,None,None,None,Purple,Purple,Purple
